Team,W-L,TotalDVOARankteam1,TotalDVOAteam1,WeightedDVOARankteam1,WeightedDVOAteam1,OffenseDVOARankteam1,Offense DVOAteam1,OffenseWeightedDVOARankteam1,OffenseWeightedDVOAteam1,DefenseDVOARankteam1,DefenseDVOAteam1,DefenseWeightedDVOARankteam1,DefenseWeightedDVOAteam1,SpecialTeamsDVOARankteam1,Special Teams DVOA,SpecialTeamsWeightedDVOARankteam1,SpecialTeamsWeightedDVOAteam1,Team 2,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA,Home 1st team
SF,1.00000,19.00000,-0.06100,19.00000,-0.06100,18.00000,0.02300,18.00000,0.02300,14.00000,0.00600,14.00000,0.00600,24.00000,-0.07800,24.00000,-0.07800,NYJ,0.00000,28.00000,-0.35200,28.00000,-0.35200,26.00000,-0.21100,26.00000,-0.21100,16.00000,0.02700,16.00000,0.02700,29.00000,-0.11400,29.00000,-0.11400,0.00000
LAR,1.00000,21.00000,-0.13500,21.00000,-0.13500,13.00000,0.07500,13.00000,0.07500,20.00000,0.09500,20.00000,0.09500,28.00000,-0.11400,28.00000,-0.11400,PHI,0.00000,29.00000,-0.41100,29.00000,-0.41100,32.00000,-0.71300,32.00000,-0.71300,4.00000,-0.33600,4.00000,-0.33600,18.00000,-0.03400,18.00000,-0.03400,0.00000
TEN,1.00000,22.00000,-0.14300,22.00000,-0.14300,16.00000,0.03400,16.00000,0.03400,10.00000,-0.11100,10.00000,-0.11100,32.00000,-0.28700,32.00000,-0.28700,JAX,0.00000,3.00000,0.38000,3.00000,0.38000,4.00000,0.35800,4.00000,0.35800,13.00000,0.00500,13.00000,0.00500,5.00000,0.02800,5.00000,0.02800,1.00000
TB,1.00000,23.00000,-0.16300,23.00000,-0.16300,25.00000,-0.16100,25.00000,-0.16100,8.00000,-0.16400,8.00000,-0.16400,30.00000,-0.16700,30.00000,-0.16700,CAR,0.00000,12.00000,0.02500,12.00000,0.02500,8.00000,0.23400,8.00000,0.23400,27.00000,0.24000,27.00000,0.24000,4.00000,0.03200,4.00000,0.03200,1.00000
DEN,0.00000,24.00000,-0.17100,24.00000,-0.17100,23.00000,-0.13300,23.00000,-0.13300,19.00000,0.03900,19.00000,0.03900,11.00000,0.00100,11.00000,0.00100,PIT,1.00000,5.00000,0.36000,5.00000,0.36000,14.00000,0.06500,14.00000,0.06500,2.00000,-0.39000,2.00000,-0.39000,27.00000,-0.09400,27.00000,-0.09400,0.00000
ATL,0.00000,25.00000,-0.26000,25.00000,-0.26000,10.00000,0.11800,10.00000,0.11800,32.00000,0.38900,32.00000,0.38900,10.00000,0.01100,10.00000,0.01100,DAL,1.00000,14.00000,0.00300,14.00000,0.00300,12.00000,0.09200,12.00000,0.09200,18.00000,0.03900,18.00000,0.03900,23.00000,-0.05100,23.00000,-0.05100,0.00000
IND,1.00000,26.00000,-0.27000,26.00000,-0.27000,15.00000,0.03800,15.00000,0.03800,28.00000,0.26000,28.00000,0.26000,21.00000,-0.04800,21.00000,-0.04800,MIN,0.00000,10.00000,0.10800,10.00000,0.10800,6.00000,0.28200,6.00000,0.28200,26.00000,0.20100,26.00000,0.20100,6.00000,0.02700,6.00000,0.02700,1.00000
CIN,0.00000,27.00000,-0.28400,27.00000,-0.28400,29.00000,-0.33200,29.00000,-0.33200,11.00000,-0.08500,11.00000,-0.08500,20.00000,-0.03700,20.00000,-0.03700,CLE,1.00000,32.00000,-1.07600,32.00000,-1.07600,31.00000,-0.57500,31.00000,-0.57500,31.00000,0.33300,31.00000,0.33300,31.00000,-0.16800,31.00000,-0.16800,0.00000
NYJ,0.00000,28.00000,-0.35200,28.00000,-0.35200,26.00000,-0.21100,26.00000,-0.21100,16.00000,0.02700,16.00000,0.02700,29.00000,-0.11400,29.00000,-0.11400,SF,1.00000,19.00000,-0.06100,19.00000,-0.06100,18.00000,0.02300,18.00000,0.02300,14.00000,0.00600,14.00000,0.00600,24.00000,-0.07800,24.00000,-0.07800,1.00000
PHI,0.00000,29.00000,-0.41100,29.00000,-0.41100,32.00000,-0.71300,32.00000,-0.71300,4.00000,-0.33600,4.00000,-0.33600,18.00000,-0.03400,18.00000,-0.03400,LAR,1.00000,21.00000,-0.13500,21.00000,-0.13500,13.00000,0.07500,13.00000,0.07500,20.00000,0.09500,20.00000,0.09500,28.00000,-0.11400,28.00000,-0.11400,1.00000
MIA,0.00000,30.00000,-0.48900,30.00000,-0.48900,27.00000,-0.23200,27.00000,-0.23200,29.00000,0.28300,29.00000,0.28300,8.00000,0.02600,8.00000,0.02600,BUF,1.00000,7.00000,0.16700,7.00000,0.16700,17.00000,0.02600,17.00000,0.02600,7.00000,-0.19000,7.00000,-0.19000,22.00000,-0.04800,22.00000,-0.04800,1.00000
NYG,0.00000,31.00000,-0.54700,31.00000,-0.54700,30.00000,-0.45400,30.00000,-0.45400,22.00000,0.11900,22.00000,0.11900,7.00000,0.02600,7.00000,0.02600,CHI,1.00000,13.00000,0.00300,13.00000,0.00300,19.00000,0.00900,19.00000,0.00900,12.00000,-0.01600,12.00000,-0.01600,16.00000,-0.02200,16.00000,-0.02200,0.00000
CLE,1.00000,32.00000,-1.07600,32.00000,-1.07600,31.00000,-0.57500,31.00000,-0.57500,31.00000,0.33300,31.00000,0.33300,31.00000,-0.16800,31.00000,-0.16800,CIN,0.00000,27.00000,-0.28400,27.00000,-0.28400,29.00000,-0.33200,29.00000,-0.33200,11.00000,-0.08500,11.00000,-0.08500,20.00000,-0.03700,20.00000,-0.03700,1.00000
HOU,0.00000,20.00000,-0.09300,20.00000,-0.09300,11.00000,0.11100,11.00000,0.11100,24.00000,0.16700,24.00000,0.16700,19.00000,-0.03600,19.00000,-0.03600,BAL,1.00000,1.00000,0.88000,1.00000,0.88000,1.00000,0.39900,1.00000,0.39900,3.00000,-0.38800,3.00000,-0.38800,2.00000,0.09400,2.00000,0.09400,1.00000
